Category,Requirement,Pass/Issue/Notes
Branding,American Space Mindelo singular; no American Spaces Mindelo,
Branding,Header/logo treatment consistent across all six flyers,
Location,Location: American Space Mindelo / UniCV,
Location,Local: American Space Mindelo / UniCV,
Time,Time to be announced / Horário a anunciar,
QR CTA,"Scan for registration, schedule updates & details",
QR CTA,"Digitalize para inscrição, horários e detalhes",
Boundary,No visible Jason/resource hub website URLs,
Boundary,No implication of official Embassy approval unless confirmed,
July 4,"No public private venue, Djan Djan, BBQ, alcohol, café details",
July 4,Invite-only / registered-participant language only,
eLibraryUSA,Cautious access wording; no unapproved account guarantee,
Translations,"Portuguese grammar, accents, naturalness, meaning match",
Promotional,Strong visual impact and clear value proposition,
